,Movie Name,Movie Link,IMDB Rating,Running Time,Director,Release Date,Country,Votes,Meta score,Summary,First writer,First actor,Genre,Censor_Board_Rating
19,Se7en,https://www.imdb.com/title/tt0114369/,8.6,2h 7min,David Fincher,22 September 1995 (Canada),USA,"1,450,943",65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Andrew Kevin Walker,Morgan Freeman,Crime,AA
20,La vita è bella,https://www.imdb.com/title/tt0118799/,8.6,1h 56min,Roberto Benigni,6 November 1998 (Canada),Italy,"625,976",,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Vincenzo Cerami,Roberto Benigni,Comedy,PG
21,Cidade de Deus,https://www.imdb.com/title/tt0317248/,8.6,2h 10min,Fernando Meirelles,30 August 2002 (Brazil),Brazil,"701,047",79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Paulo Lins,Alexandre Rodrigues,Crime,18A
22,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,8.6,1h 58min,Jonathan Demme,14 February 1991 (USA),USA,"1,275,334",85,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Thomas Harris,Jodie Foster,Crime,18+
23,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,8.6,2h 10min,Frank Capra,7 January 1947 (USA),USA,"407,079",89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frances Goodrich,James Stewart,Drama,G
24,Star Wars,https://www.imdb.com/title/tt0076759/,8.6,2h 1min,George Lucas,25 May 1977 (USA),USA,"1,235,052",90,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,Mark Hamill,Action,14
25,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,8.6,2h 49min,Steven Spielberg,24 July 1998 (Canada),USA,"1,240,100",91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Robert Rodat,Tom Hanks,Drama,14A
26,The Green Mile,https://www.imdb.com/title/tt0120689/,8.6,3h 9min,Frank Darabont,10 December 1999 (Canada),USA,"1,152,328",61,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Stephen King,Tom Hanks,Crime,14A
27,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,8.6,2h 5min,Hayao Miyazaki,20 July 2001 (Japan),Japan,"654,732",96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,Daveigh Chase,Animation,PG
28,Interstellar,https://www.imdb.com/title/tt0816692/,8.6,2h 49min,Christopher Nolan,7 November 2014 (Canada),USA,"1,519,908",74,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Jonathan Nolan,Matthew McConaughey,Adventure,PG
29,Gisaengchung,https://www.imdb.com/title/tt6751668/,8.6,2h 12min,Bong Joon Ho,30 May 2019 (South Korea),South Korea,"562,949",96,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,Kang-ho Song,Comedy,14A
30,Léon,https://www.imdb.com/title/tt0110413/,8.5,1h 50min,Luc Besson,14 September 1994 (France),English,"1,039,095",64,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Jean Reno,Action,14A
31,Seppuku,https://www.imdb.com/title/tt0056058/,8.6,2h 13min,Masaki Kobayashi,1963 (Canada),Japanese,"42,583",85,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Yasuhiko Takiguchi,Tatsuya Nakadai,Action,PG
32,The Usual Suspects,https://www.imdb.com/title/tt0114814/,8.5,1h 46min,Bryan Singer,16 August 1995 (USA),USA,"994,202",77,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Christopher McQuarrie,Kevin Spacey,Crime,14A
33,The Lion King,https://www.imdb.com/title/tt0110357/,8.5,1h 28min,Roger Allers,24 June 1994 (Canada),USA,"945,507",88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Irene Mecchi,Matthew Broderick,Animation,G
34,The Pianist,https://www.imdb.com/title/tt0253474/,8.5,2h 30min,Roman Polanski,24 January 2003 (Canada),UK,"732,560",85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Ronald Harwood,Adrien Brody,Biography,AA
35,Back to the Future,https://www.imdb.com/title/tt0088763/,8.5,1h 56min,Robert Zemeckis,3 July 1985 (USA),USA,"1,061,951",87,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,Michael J. Fox,Adventure,PG
36,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,8.5,2h 17min,James Cameron,3 July 1991 (Canada),USA,"998,098",75,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,Arnold Schwarzenegger,Action,14A
37,American History X,https://www.imdb.com/title/tt0120586/,8.5,1h 59min,Tony Kaye,1 July 1998 (Canada),USA,"1,037,429",62,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,David McKenna,Edward Norton,Drama,18A
38,Modern Times,https://www.imdb.com/title/tt0027977/,8.5,1h 27min,Charles Chaplin,25 February 1936 (USA),USA,"218,766",96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Charles Chaplin,Comedy,1h27min
39,Gladiator,https://www.imdb.com/title/tt0172495/,8.5,2h 35min,Ridley Scott,5 May 2000 (USA),USA,"1,345,649",67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,David Franzoni,Russell Crowe,Action,18
40,Psycho,https://www.imdb.com/title/tt0054215/,8.5,1h 49min,Alfred Hitchcock,17 August 1960 (Canada),USA,"606,222",97,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Joseph Stefano,Anthony Perkins,Horror,18A
41,The Departed,https://www.imdb.com/title/tt0407887/,8.5,2h 31min,Martin Scorsese,6 October 2006 (Canada),USA,"1,194,042",85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,William Monahan,Leonardo DiCaprio,Crime,18A
42,City Lights,https://www.imdb.com/title/tt0021749/,8.5,1h 27min,Charles Chaplin,3 April 1931 (Canada),USA,"168,488",99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,Charles Chaplin,Comedy,G
43,The Intouchables,https://www.imdb.com/title/tt1675434/,8.5,1h 52min,Olivier Nakache,2 November 2011 (France),France,"763,921",,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,François Cluzet,Biography,14A
44,Whiplash,https://www.imdb.com/title/tt2582802/,8.5,1h 46min,Damien Chazelle,15 October 2014 (Philippines),USA,"721,052",88,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Miles Teller,Drama,14A
45,Hotaru no haka,https://www.imdb.com/title/tt0095327/,8.5,1h 29min,Isao Takahata,16 April 1988 (Japan),Japanese,"236,535",94,A young boy and his little sister struggle to survive in Japan during World War II.,Akiyuki Nosaka,Tsutomu Tatsumi,Animation,PG
46,The Prestige,https://www.imdb.com/title/tt0482571/,8.5,2h 10min,Christopher Nolan,20 October 2006 (Canada),English,"1,194,539",66,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Jonathan Nolan,Christian Bale,Drama,14A
47,Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/,8.5,2h 45min,Sergio Leone,21 December 1968 (Italy),English,"303,783",80,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Donati,Henry Fonda,Western,13+
48,Casablanca,https://www.imdb.com/title/tt0034583/,8.5,1h 42min,Michael Curtiz,23 January 1943 (USA),USA,"523,681",100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Julius J. Epstein,Humphrey Bogart,Drama,G
49,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,8.5,2h 35min,Giuseppe Tornatore,17 November 1988 (Italy),Italy,"231,752",80,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,Philippe Noiret,Drama,PG
50,Rear Window,https://www.imdb.com/title/tt0047396/,8.4,1h 52min,Alfred Hitchcock,September 1954 (USA),English,"445,487",100,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,John Michael Hayes,James Stewart,Mystery,PG
51,Alien,https://www.imdb.com/title/tt0078748/,8.4,1h 57min,Ridley Scott,22 June 1979 (USA),UK,"790,306",89,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Dan O'Bannon,Sigourney Weaver,Horror,R
52,Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.4,2h 27min,Francis Ford Coppola,15 August 1979 (USA),USA,"608,360",94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,John Milius,Martin Sheen,Drama,R
53,Memento,https://www.imdb.com/title/tt0209144/,8.4,1h 53min,Christopher Nolan,25 May 2001 (USA),USA,"1,129,011",80,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,Guy Pearce,Mystery,14A
54,The Great Dictator,https://www.imdb.com/title/tt0032553/,8.4,2h 5min,Charles Chaplin,7 March 1941 (USA),USA,"203,846",,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,Charles Chaplin,Comedy,PG
55,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,8.4,1h 55min,Steven Spielberg,12 June 1981 (Canada),USA,"886,348",85,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Lawrence Kasdan,Harrison Ford,Action,13+
56,Hamilton,https://www.imdb.com/title/tt8503618/,8.5,2h 40min,Thomas Kail,3 July 2020 (Canada),USA,"57,212",90,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Lin-Manuel Miranda,Lin-Manuel Miranda,Biography,G
57,Django Unchained,https://www.imdb.com/title/tt1853728/,8.4,2h 45min,Quentin Tarantino,25 December 2012 (Canada),USA,"1,363,267",81,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,Jamie Foxx,Drama,18A
58,The Lives of Others,https://www.imdb.com/title/tt0405094/,8.4,2h 17min,Florian Henckel von Donnersmarck,23 March 2006 (Germany),Germany,"359,927",89,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Ulrich Mühe,Drama,14A
59,Paths of Glory,https://www.imdb.com/title/tt0050825/,8.4,1h 28min,Stanley Kubrick,25 October 1957 (Canada),English,"178,889",90,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,Kirk Douglas,Drama,PG
60,Joker,https://www.imdb.com/title/tt7286456/,8.4,2h 2min,Todd Phillips,4 October 2019 (Canada),USA,"948,825",,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,Joaquin Phoenix,Crime,14A
61,WALL·E,https://www.imdb.com/title/tt0910970/,8.4,1h 38min,Andrew Stanton,27 June 2008 (Canada),USA,"1,003,071",95,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,Ben Burtt,Animation,G
62,The Shining,https://www.imdb.com/title/tt0081505/,8.4,2h 26min,Stanley Kubrick,13 June 1980 (Canada),UK,"901,636",66,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stephen King,Jack Nicholson,Drama,R
63,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,8.4,2h 29min,Anthony Russo,27 April 2018 (Canada),USA,"840,555",68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Christopher Markus,Robert Downey Jr.,Action,PG
64,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,8.4,1h 50min,Billy Wilder,29 September 1950 (Australia),English,"202,337",,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Charles Brackett,William Holden,Drama,PG
65,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/,8.4,1h 56min,Billy Wilder,19 February 1958 (Canada),English,"109,431",,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Agatha Christie,Tyrone Power,Crime,PG
66,Oldeuboi,https://www.imdb.com/title/tt0364569/,8.4,2h,Chan-wook Park,21 November 2003 (South Korea),South Korea,"517,386",77,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Garon Tsuchiya,Choi Min-sik,Action,R
67,Mononoke-hime,https://www.imdb.com/title/tt0119698/,8.4,2h 14min,Hayao Miyazaki,26 November 1999 (Canada),Japan,"344,887",76,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,Yôji Matsuda,Animation,14A
68,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,8.4,1h 57min,Bob Persichetti,14 December 2018 (Canada),USA,"378,864",87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Phil Lord,Shameik Moore,Animation,PG
69,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,8.4,1h 35min,Stanley Kubrick,February 1964 (Canada),UK,"451,849",97,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Stanley Kubrick,Peter Sellers,Comedy,PG
70,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,8.4,2h 44min,Christopher Nolan,20 July 2012 (Canada),UK,"1,520,833",78,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Jonathan Nolan,Christian Bale,Action,14A
71,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,8.4,3h 49min,Sergio Leone,1 June 1984 (Canada),Italy,"312,650",,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Harry Grey,Robert De Niro,Crime,18A
72,Kimi no na wa.,https://www.imdb.com/title/tt5311514/,8.4,1h 46min,Makoto Shinkai,26 August 2016 (Japan),Japan,"197,295",79,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,Ryûnosuke Kamiki,Animation,PG
73,Aliens,https://www.imdb.com/title/tt0090605/,8.3,2h 17min,James Cameron,18 July 1986 (Canada),USA,"654,399",84,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,Sigourney Weaver,Action,R
74,Coco,https://www.imdb.com/title/tt2380307/,8.4,1h 45min,Lee Unkrich,22 November 2017 (Canada),USA,"387,972",81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Anthony Gonzalez,Animation,PG
75,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,8.4,3h 1min,Anthony Russo,26 April 2019 (Canada),USA,"819,114",78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Christopher Markus,Robert Downey Jr.,Action,PG
76,American Beauty,https://www.imdb.com/title/tt0169547/,8.3,2h 2min,Sam Mendes,1 October 1999 (USA),USA,"1,072,494",84,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Alan Ball,Kevin Spacey,Drama,18A
77,Braveheart,https://www.imdb.com/title/tt0112573/,8.3,2h 58min,Mel Gibson,24 May 1995 (USA),USA,"961,570",68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Randall Wallace,Mel Gibson,Biography,18A
78,Capharnaüm,https://www.imdb.com/title/tt8267604/,8.4,2h 6min,Nadine Labaki,20 September 2018 (Lebanon),Lebanon,"63,708",75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,Zain Al Rafeea,Drama,14A
79,Das Boot,https://www.imdb.com/title/tt0082096/,8.3,2h 29min,Wolfgang Petersen,10 February 1982 (Canada),West Germany,"232,581",86,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Wolfgang Petersen,Jürgen Prochnow,Adventure,14A
80,Toy Story,https://www.imdb.com/title/tt0114709/,8.3,1h 21min,John Lasseter,22 November 1995 (Canada),USA,"890,446",95,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,Tom Hanks,Animation,G
81,3 Idiots,https://www.imdb.com/title/tt1187043/,8.4,2h 50min,Rajkumar Hirani,25 December 2009 (India),India,"345,800",67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Aamir Khan,Comedy,PG
82,Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,8.4,2h 23min,Akira Kurosawa,1 March 1963 (Japan),Japanese,"34,817",,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Hideo Oguni,Toshirô Mifune,Crime,2h23min
83,Amadeus,https://www.imdb.com/title/tt0086879/,8.3,2h 40min,Milos Forman,19 September 1984 (USA),USA,"370,095",88,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Peter Shaffer,F. Murray Abraham,Biography,PG
84,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.3,2h 33min,Quentin Tarantino,21 August 2009 (Canada),USA,"1,273,160",69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Brad Pitt,Adventure,18A
85,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3,2h 11min,Richard Marquand,25 May 1983 (Canada),USA,"953,293",,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Lawrence Kasdan,Mark Hamill,Action,G
86,Good Will Hunting,https://www.imdb.com/title/tt0119217/,8.3,2h 6min,Gus Van Sant,9 January 1998 (Canada),USA,"864,750",70,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Matt Damon,Robin Williams,Drama,14A
87,Taare Zameen Par,https://www.imdb.com/title/tt0986264/,8.4,2h 45min,Aamir Khan,21 December 2007 (Canada),India,"169,773",,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Amole Gupte,Darsheel Safary,Drama,PG
88,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,8.3,1h 39min,Quentin Tarantino,2 September 1992 (France),USA,"921,622",79,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Harvey Keitel,Crime,18+
89,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,8.3,2h 29min,Stanley Kubrick,12 May 1968 (UK),UK,"605,427",84,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Stanley Kubrick,Keir Dullea,Adventure,G
90,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3,1h 42min,Darren Aronofsky,3 November 2000 (Canada),English,"769,333",68,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Hubert Selby Jr.,Ellen Burstyn,Drama,R
91,Vertigo,https://www.imdb.com/title/tt0052357/,8.3,2h 8min,Alfred Hitchcock,16 June 1958 (Canada),USA,"365,663",100,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Alec Coppel,James Stewart,Mystery,G
92,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,8.3,1h 57min,Fritz Lang,31 August 1931 (Sweden),German,"143,992",,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Thea von Harbou,Peter Lorre,Crime,G
93,Jagten,https://www.imdb.com/title/tt2106476/,8.3,1h 55min,Thomas Vinterberg,10 January 2013 (Denmark),Denmark,"283,378",77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Tobias Lindholm,Mads Mikkelsen,Drama,R
94,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,8.3,1h 48min,Michel Gondry,19 March 2004 (USA),USA,"914,466",89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Charlie Kaufman,Jim Carrey,Drama,14A
95,Citizen Kane,https://www.imdb.com/title/tt0033467/,8.3,1h 59min,Orson Welles,5 September 1941 (USA),USA,"404,925",100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Herman J. Mankiewicz,Orson Welles,Drama,G
96,Dangal,https://www.imdb.com/title/tt5074352/,8.4,2h 41min,Nitesh Tiwari,23 December 2016 (Canada),USA,"157,454",,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Piyush Gupta,Aamir Khan,Action,PG
97,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,8.3,1h 29min,Vittorio De Sica,24 November 1948 (Italy),Italian,"147,136",,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Cesare Zavattini,Lamberto Maggiorani,Drama,1h29min
98,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,8.3,1h 43min,Stanley Donen,11 April 1952 (USA),English,"219,735",99,A silent film production company and cast make a difficult transition to sound.,Betty Comden,Gene Kelly,Comedy,G
99,Full Metal Jacket,https://www.imdb.com/title/tt0093058/,8.3,1h 56min,Stanley Kubrick,26 June 1987 (Canada),English,"677,232",76,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,Matthew Modine,Drama,R
100,The Kid,https://www.imdb.com/title/tt0012349/,8.3,1h 8min,Charles Chaplin,March 1921 (Canada),USA,"113,933",,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,Charles Chaplin,Comedy,1h8min
101,Snatch,https://www.imdb.com/title/tt0208092/,8.3,1h 44min,Guy Ritchie,19 January 2001 (Canada),UK,"784,134",,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Jason Statham,Comedy,16+
102,Idi i smotri,https://www.imdb.com/title/tt0091251/,8.3,2h 22min,Elem Klimov,17 October 1985 (Hungary),Russian,"59,675",,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Ales Adamovich,Aleksey Kravchenko,Drama,16+
103,North by Northwest,https://www.imdb.com/title/tt0053125/,8.3,2h 16min,Alfred Hitchcock,11 September 1959 (Canada),English,"300,059",98,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Ernest Lehman,Cary Grant,Adventure,18A
104,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,8.3,2h 16min,Stanley Kubrick,13 January 1972 (UK),English,"760,066",77,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,Malcolm McDowell,Crime,(Banned)
105,Scarface,https://www.imdb.com/title/tt0086250/,8.3,2h 50min,Brian De Palma,9 December 1983 (Canada),USA,"743,588",65,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Oliver Stone,Al Pacino,Crime,18+
106,Ikiru,https://www.imdb.com/title/tt0044741/,8.3,2h 23min,Akira Kurosawa,9 October 1952 (Japan),Japanese,"68,864",,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Takashi Shimura,Drama,2h23min
107,1917,https://www.imdb.com/title/tt8579674/,8.3,1h 59min,Sam Mendes,10 January 2020 (Canada),USA,"433,111",78,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,Dean-Charles Chapman,Drama,14A
108,Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2,1h 54min,Martin Scorsese,19 March 1976 (Canada),English,"727,657",94,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Paul Schrader,Robert De Niro,Crime,18A
109,Incendies,https://www.imdb.com/title/tt1255953/,8.3,2h 10min,Denis Villeneuve,12 January 2011 (France),Canada,"150,956",80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Lubna Azabal,Drama,14A
110,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,8.3,2h 3min,Asghar Farhadi,16 March 2011 (Iran),Iran,"220,827",95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Payman Maadi,Drama,PG
111,Toy Story 3,https://www.imdb.com/title/tt0435761/,8.2,1h 43min,Lee Unkrich,18 June 2010 (Canada),USA,"759,325",92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",John Lasseter,Tom Hanks,Animation,G
112,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,8.3,3h 48min,David Lean,30 January 1963 (Canada),UK,"268,927",100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",T.E. Lawrence,Peter O'Toole,Adventure,PG
